date,open,high,low,close,volume
2005-01-03,0.186260,0.188858,0.179385,0.180148,1066716000.000000
2005-01-04,0.181447,0.181753,0.168918,0.171668,790224000.000000
2005-01-05,0.169834,0.175335,0.168918,0.173272,724812000.000000
2005-01-06,0.176328,0.178391,0.170369,0.171592,563568000.000000
2005-01-07,0.171973,0.173272,0.165785,0.168306,763092000.000000
2005-01-10,0.168842,0.170369,0.167696,0.168688,579552000.000000
2005-01-11,0.167084,0.168001,0.160972,0.163493,1093380000.000000
2005-01-12,0.164945,0.165556,0.158145,0.162118,1057800000.000000
2005-01-13,0.162500,0.168077,0.158909,0.163799,898764000.000000
2005-01-14,0.166855,0.167237,0.162729,0.164334,573912000.000000
2005-01-18,0.162500,0.167313,0.162118,0.166931,464556000.000000
2005-01-19,0.167696,0.168077,0.162424,0.163112,336492000.000000
2005-01-20,0.159826,0.167466,0.159826,0.163493,640080000.000000
2005-01-21,0.163722,0.167008,0.163188,0.163799,596352000.000000
2005-01-24,0.162882,0.165250,0.156312,0.157229,463704000.000000
2005-01-25,0.157916,0.162195,0.156999,0.159979,439704000.000000
2005-01-26,0.160513,0.164258,0.157840,0.162042,429120000.000000
2005-01-27,0.162347,0.175793,0.161354,0.175030,1002912000.000000
2005-01-28,0.175717,0.176405,0.170980,0.174801,671052000.000000
2005-01-31,0.176252,0.178391,0.172661,0.175106,562968000.000000
2005-02-01,0.174953,0.179155,0.173884,0.178391,507180000.000000
2005-02-02,0.185420,0.189774,0.180148,0.188323,2035404000.000000
2005-02-03,0.186337,0.187636,0.183739,0.186337,690120000.000000
2005-02-04,0.186413,0.197567,0.186337,0.197033,806448000.000000
2005-02-07,0.197262,0.200929,0.192907,0.194664,521628000.000000
2005-02-08,0.193442,0.199706,0.192830,0.196574,455772000.000000
2005-02-09,0.197109,0.197720,0.188705,0.189698,783756000.000000
2005-02-10,0.190691,0.195122,0.190004,0.194129,602376000.000000
2005-02-11,0.192907,0.201234,0.192219,0.199783,556512000.000000
2005-02-14,0.199706,0.200471,0.194817,0.195580,432900000.000000
2005-02-15,0.196880,0.203602,0.196574,0.197338,748500000.000000
2005-02-16,0.196726,0.199554,0.193136,0.196650,466464000.000000
2005-02-17,0.199325,0.199401,0.193365,0.194893,1017408000.000000
2005-02-18,0.209868,0.216208,0.204061,0.215979,3132120000.000000
2005-02-22,0.214528,0.223772,0.212618,0.218729,1420800000.000000
2005-02-23,0.215215,0.217890,0.208110,0.211624,1107840000.000000
2005-02-24,0.208722,0.217507,0.208722,0.217202,695496000.000000
2005-02-25,0.217507,0.221480,0.215139,0.220334,525132000.000000
2005-02-28,0.219265,0.221557,0.217354,0.221480,758064000.000000
2005-03-01,0.222473,0.226141,0.218729,0.220945,737148000.000000
2005-03-02,0.218500,0.219723,0.213153,0.214452,947460000.000000
2005-03-03,0.213916,0.215291,0.208415,0.211548,761292000.000000
2005-03-04,0.212160,0.213993,0.208874,0.210631,593124000.000000
2005-03-07,0.211548,0.217202,0.210097,0.212770,511176000.000000
2005-03-08,0.212236,0.212694,0.200623,0.201998,1332384000.000000
2005-03-09,0.200700,0.204443,0.196116,0.196726,910140000.000000
2005-03-10,0.197338,0.199095,0.193518,0.196650,689280000.000000
